model,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,params,flops_per_series,sec_per_epoch,peak_gpu_mem_mb,epochs_run,lookback_label
fits,ETTh2,336,96,2021,0.284398,0.345221,0.22062,4644,18144,1.0563,70.8,19,L336
fits,ETTh2,336,96,2022,0.285684,0.345797,0.221083,4644,18144,1.0566,70.8,19,L336
fits,ETTh2,336,96,2023,0.285222,0.345812,0.221098,4644,18144,1.0468,70.8,19,L336
patchtst,ETTh2,336,96,2021,0.363382,0.388385,0.233047,328866,0,3.2867,154.1,5,L336
patchtst,ETTh2,336,96,2022,0.332446,0.37324,0.228664,328866,0,3.2492,154.1,4,L336
patchtst,ETTh2,336,96,2023,0.341183,0.382976,0.222131,328866,0,6.0041,154.1,5,L336
naive,ETTh2,336,192,2021,0.533722,0.472538,0.385814,0,0,0.0,68.1,0,L336
naive,ETTh2,336,192,2022,0.533722,0.472538,0.385814,0,0,0.0,68.1,0,L336
naive,ETTh2,336,192,2023,0.533722,0.472538,0.385814,0,0,0.0,68.1,0,L336
nlinear,ETTh2,336,192,2021,0.345011,0.384663,0.27906,64704,129024,1.768,71.4,9,L336
nlinear,ETTh2,336,192,2022,0.346229,0.385224,0.278822,64704,129024,0.6517,71.4,8,L336
nlinear,ETTh2,336,192,2023,0.350371,0.387193,0.278088,64704,129024,0.6874,71.4,6,L336
dlinear,ETTh2,336,192,2021,0.380131,0.417602,0.297587,129408,258048,0.9249,72.9,8,L336
dlinear,ETTh2,336,192,2022,0.380617,0.415816,0.301095,129408,258048,0.935,72.9,4,L336
dlinear,ETTh2,336,192,2023,0.395112,0.426001,0.303823,129408,258048,0.9239,72.9,12,L336
rlinear,ETTh2,336,192,2021,0.34092,0.38217,0.274494,64706,129024,1.0418,71.1,9,L336
rlinear,ETTh2,336,192,2022,0.364339,0.39327,0.274433,64706,129024,1.0627,71.1,4,L336
rlinear,ETTh2,336,192,2023,0.341244,0.382265,0.274361,64706,129024,1.0295,71.1,9,L336
fits,ETTh2,336,192,2021,0.344011,0.383056,0.290037,5676,22176,0.9697,71.6,19,L336
fits,ETTh2,336,192,2022,0.344897,0.383866,0.29117,5676,22176,0.95,71.6,19,L336
fits,ETTh2,336,192,2023,0.344494,0.383473,0.290354,5676,22176,0.9298,71.6,19,L336
patchtst,ETTh2,336,192,2021,0.419955,0.423354,0.313758,587010,0,3.3125,158.4,4,L336
patchtst,ETTh2,336,192,2022,0.452816,0.442997,0.316446,587010,0,3.3291,158.4,6,L336
patchtst,ETTh2,336,192,2023,0.395627,0.419331,0.303,587010,0,3.3322,158.4,4,L336
naive,ETTh2,336,336,2021,0.597277,0.510865,0.477049,0,0,0.0,68.6,0,L336
naive,ETTh2,336,336,2022,0.597277,0.510865,0.477049,0,0,0.0,68.6,0,L336
naive,ETTh2,336,336,2023,0.597277,0.510865,0.477049,0,0,0.0,68.6,0,L336
nlinear,ETTh2,336,336,2021,0.398194,0.421145,0.367262,113232,225792,0.6468,73.0,5,L336
nlinear,ETTh2,336,336,2022,0.3718,0.409423,0.36806,113232,225792,0.6434,73.0,7,L336
nlinear,ETTh2,336,336,2023,0.383344,0.415237,0.363805,113232,225792,0.6706,73.0,6,L336
dlinear,ETTh2,336,336,2021,0.464075,0.47526,0.407833,226464,451584,0.7696,75.4,4,L336
dlinear,ETTh2,336,336,2022,0.451328,0.465863,0.408804,226464,451584,0.7642,75.4,4,L336
dlinear,ETTh2,336,336,2023,0.454807,0.467076,0.39619,226464,451584,0.8257,75.4,7,L336
rlinear,ETTh2,336,336,2021,0.364612,0.405118,0.362323,113234,225792,0.9707,72.7,8,L336
rlinear,ETTh2,336,336,2022,0.370527,0.407616,0.362417,113234,225792,0.9678,72.7,5,L336
rlinear,ETTh2,336,336,2023,0.371721,0.408943,0.359617,113234,225792,0.9773,72.7,6,L336
fits,ETTh2,336,336,2021,0.364581,0.401674,0.384799,7224,28224,0.9301,72.8,19,L336
fits,ETTh2,336,336,2022,0.363902,0.401301,0.38522,7224,28224,0.9126,72.8,19,L336
fits,ETTh2,336,336,2023,0.363856,0.40111,0.384256,7224,28224,0.9032,72.8,19,L336
patchtst,ETTh2,336,336,2021,0.434927,0.442848,0.39638,974226,0,3.3716,165.1,5,L336
patchtst,ETTh2,336,336,2022,0.425783,0.437664,0.410073,974226,0,3.3391,165.1,4,L336
patchtst,ETTh2,336,336,2023,0.436068,0.438458,0.400495,974226,0,3.328,165.1,4,L336
naive,ETTh2,336,720,2021,0.594472,0.518991,0.740687,0,0,0.0,70.0,0,L336
naive,ETTh2,336,720,2022,0.594472,0.518991,0.740687,0,0,0.0,70.0,0,L336
naive,ETTh2,336,720,2023,0.594472,0.518991,0.740687,0,0,0.0,70.0,0,L336
nlinear,ETTh2,336,720,2021,0.414724,0.444924,0.610492,242640,483840,0.6362,77.1,4,L336
nlinear,ETTh2,336,720,2022,0.403676,0.441381,0.609708,242640,483840,0.6412,77.1,7,L336
nlinear,ETTh2,336,720,2023,0.402396,0.440931,0.613093,242640,483840,0.6441,77.1,13,L336
dlinear,ETTh2,336,720,2021,0.717472,0.601356,0.673535,485280,967680,0.7516,81.9,6,L336
dlinear,ETTh2,336,720,2022,0.714615,0.59993,0.664458,485280,967680,0.7803,81.9,8,L336
dlinear,ETTh2,336,720,2023,0.669935,0.580578,0.661195,485280,967680,0.765,81.9,4,L336
rlinear,ETTh2,336,720,2021,0.3959,0.433245,0.607783,242642,483840,0.8355,77.7,9,L336
rlinear,ETTh2,336,720,2022,0.396169,0.43315,0.605583,242642,483840,0.8411,77.7,7,L336
rlinear,ETTh2,336,720,2023,0.397559,0.433635,0.605598,242642,483840,0.8245,77.7,6,L336
fits,ETTh2,336,720,2021,0.39138,0.427,0.651303,11352,44352,0.9573,76.1,20,L336
fits,ETTh2,336,720,2022,0.390888,0.426719,0.650927,11352,44352,0.9858,76.1,20,L336
fits,ETTh2,336,720,2023,0.391535,0.42716,0.651417,11352,44352,0.9952,76.1,20,L336
