model,dataset,lookback,horizon,mse_mean,mse_std,mae_mean,mae_std,params,flops,sec_per_epoch,peak_mem,n_seeds
freqlite,ETTh2,96,192,0.376372,0.00015687255974196636,0.39134633333333335,0.00012090216430377567,37829,86371,1.9487666666666665,70.8,3
freqlite,ETTh2,96,336,0.41591266666666665,8.82968478108306e-05,0.42684533333333335,6.757465007928953e-05,66197,141667,1.739766666666667,73.0,3
freqlite,ETTh2,96,720,0.424039,0.0022959810539288183,0.4415846666666667,0.0006894529232176262,141845,289123,1.5001666666666669,79.1,3
freqlite,ETTh2,336,96,0.27479233333333336,0.0006572741690750886,0.33645966666666666,3.00055550412624e-05,64997,185420,2.0620999999999996,72.5,3
freqlite,ETTh2,336,192,0.3404933333333333,0.005271804656219128,0.38048600000000005,0.002765330179201032,129989,314444,2.0697666666666668,74.0,3
freqlite,ETTh2,336,336,0.3616436666666667,0.0007972956373474973,0.401853,0.00040163167205783647,227477,507980,1.732,76.8,3
freqlite,ETTh2,336,720,0.39249,0.0016088980701088789,0.43014,0.0006206093779504268,487445,1024076,1.4878666666666664,85.8,3
freqlite,ETTm1,96,96,0.3511466666666667,0.0016515284839606081,0.3723916666666667,0.0004844856379020597,18917,49507,7.944266666666667,69.6,3
freqlite,ETTm1,96,192,0.3892893333333333,0.0015475084275483907,0.390949,0.001923224635865545,37829,86371,7.323533333333333,70.8,3
freqlite,ETTm1,96,336,0.42325566666666664,0.0013147038956865238,0.413414,0.0012723682643008731,66197,141667,7.882666666666666,73.0,3
freqlite,ETTm1,96,720,0.48679066666666665,0.0016836580214916793,0.4486773333333333,0.0003017570766913848,141845,289123,8.0904,79.1,3
freqlite,ETTm1,336,96,0.3022126666666667,0.0008747412950886415,0.34371833333333335,0.0006047200454204932,64997,185420,7.615600000000001,72.5,3
freqlite,ETTm1,336,192,0.34025733333333336,0.003968658001558365,0.367063,0.0034772087944211745,129989,314444,7.397666666666666,74.0,3
freqlite,ETTm1,336,336,0.371872,0.0006775773018630376,0.384283,0.000524819969132249,227477,507980,7.181766666666667,76.8,3
freqlite,ETTm1,336,720,0.4279853333333333,0.000531692893814998,0.416622,0.0005367187345342461,487445,1024076,7.593366666666667,85.8,3
freqlite,ETTm2,96,96,0.181623,0.00035453067568265434,0.2639146666666667,0.0007713114373152642,18917,49507,6.5932,69.6,3
freqlite,ETTm2,96,192,0.24633266666666667,0.00014135180696875832,0.30438000000000004,0.00017255433926740118,37829,86371,8.014000000000001,70.8,3
freqlite,ETTm2,96,336,0.30756,0.0003728753142807903,0.34285066666666664,0.0002732953225603216,66197,141667,7.3341,73.0,3
freqlite,ETTm2,96,720,0.4075683333333333,0.00019500341877344235,0.39819066666666664,0.00037714232503566723,141845,289123,8.123466666666667,79.1,3
freqlite,ETTm2,336,96,0.16405366666666668,0.0006391105798946913,0.25276533333333334,0.00042139569686144705,64997,185420,6.908,72.5,3
freqlite,ETTm2,336,192,0.21938833333333332,0.00012764925903951057,0.2904616666666667,0.00011180488957705736,129989,314444,7.883833333333333,74.0,3
freqlite,ETTm2,336,336,0.273514,0.0007979999999999723,0.32557833333333336,0.00033725410795623926,227477,507980,7.151800000000001,76.8,3
freqlite,ETTm2,336,720,0.3700113333333333,0.0035997390646175203,0.38328500000000004,0.0013849068560737355,487445,1024076,7.276966666666667,85.8,3
freqlite,weather,96,96,0.19485766666666668,0.0003599865738237126,0.23385599999999998,0.000252833937595427,18917,49507,7.6312999999999995,73.0,3
freqlite,weather,96,192,0.23984533333333333,0.00021364066404439558,0.269711,0.00021453904073621434,37829,86371,8.508433333333334,77.1,3
freqlite,weather,96,336,0.29175333333333336,2.0428737928097735e-05,0.3062,5.000000000025817e-06,66197,141667,8.477666666666666,83.3,3
freqlite,weather,96,720,0.3643509999999999,0.000621177108399845,0.3531006666666667,0.0003434317011187455,141845,289123,8.012666666666666,99.7,3
freqlite,weather,336,96,0.17417666666666665,0.0003069109534267798,0.22375799999999998,0.0005075657592864092,64997,185420,9.184099999999999,81.2,3
freqlite,weather,336,192,0.21761300000000003,0.00037878621939031417,0.2601276666666667,0.0005983187556256042,129989,314444,8.269,83.6,3
freqlite,weather,336,336,0.265355,0.00016897041161103378,0.29491399999999995,0.00023481269130945569,227477,507980,8.462000000000002,89.8,3
freqlite,weather,336,720,0.3333913333333333,0.0002486791775226497,0.3421523333333334,0.0002693182751566103,487445,1024076,8.6496,108.59999999999998,3
