variant,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,rho,params,epochs_run
dlinear,national_illness,36,36,2021,4.569832,1.534632,0.673772,,2664,20
dlinear,national_illness,36,36,2022,4.832892,1.591847,0.700178,,2664,20
dlinear,national_illness,36,36,2023,4.540608,1.532373,0.672907,,2664,20
fits,national_illness,36,36,2021,7.755745,2.023285,1.171006,,120,20
fits,national_illness,36,36,2022,7.159196,1.987434,1.076386,,120,20
fits,national_illness,36,36,2023,5.023423,1.619631,0.777521,,120,20
arevin_linear,national_illness,36,36,2021,3.736044,1.353898,0.551045,0.5090,1443,20
arevin_linear,national_illness,36,36,2022,3.706516,1.355401,0.548474,0.5090,1443,20
arevin_linear,national_illness,36,36,2023,3.807799,1.374081,0.568928,0.5090,1443,20
freqlite_def,national_illness,36,36,2021,3.583479,1.319330,0.532459,0.0186,2777,20
freqlite_def,national_illness,36,36,2022,3.542213,1.317778,0.519665,0.0186,2777,20
freqlite_def,national_illness,36,36,2023,3.712935,1.352932,0.551454,0.0186,2777,20
freqlite_arevin,national_illness,36,36,2021,3.565902,1.314528,0.530696,0.5088,2777,20
freqlite_arevin,national_illness,36,36,2022,3.522903,1.311939,0.517885,0.5089,2777,20
freqlite_arevin,national_illness,36,36,2023,3.690291,1.346743,0.548923,0.5089,2777,20
freqlite_forced,national_illness,36,36,2021,3.549681,1.310066,0.529091,0.9997,2777,20
freqlite_forced,national_illness,36,36,2022,3.505168,1.306502,0.516269,0.9997,2777,20
freqlite_forced,national_illness,36,36,2023,3.669249,1.340913,0.546579,0.9997,2777,20
rlinear,national_illness,36,48,2021,3.461488,1.285009,0.492449,,1778,20
rlinear,national_illness,36,48,2022,3.422634,1.287300,0.503891,,1778,20
rlinear,national_illness,36,48,2023,3.521511,1.312586,0.511386,,1778,20
dlinear,national_illness,36,48,2021,4.485108,1.505831,0.626878,,3552,20
dlinear,national_illness,36,48,2022,4.835331,1.582132,0.670175,,3552,20
dlinear,national_illness,36,48,2023,4.624928,1.532890,0.645434,,3552,20
fits,national_illness,36,48,2021,5.304268,1.640608,0.666187,,144,20
fits,national_illness,36,48,2022,6.626601,1.879443,0.887549,,144,20
fits,national_illness,36,48,2023,6.181312,1.820588,0.984748,,144,20
arevin_linear,national_illness,36,48,2021,3.444980,1.280338,0.489963,0.5090,1923,20
arevin_linear,national_illness,36,48,2022,3.404198,1.282083,0.500822,0.5091,1923,20
arevin_linear,national_illness,36,48,2023,3.502587,1.306983,0.508241,0.5091,1923,20
freqlite_def,national_illness,36,48,2021,3.398191,1.268373,0.484063,0.0186,3701,20
freqlite_def,national_illness,36,48,2022,3.303954,1.253241,0.478680,0.0186,3701,20
freqlite_def,national_illness,36,48,2023,3.392037,1.281948,0.484069,0.0186,3701,20
freqlite_arevin,national_illness,36,48,2021,3.381812,1.263690,0.481471,0.5090,3701,20
freqlite_arevin,national_illness,36,48,2022,3.288758,1.248724,0.476109,0.5089,3701,20
freqlite_arevin,national_illness,36,48,2023,3.375611,1.276684,0.481345,0.5089,3701,20
freqlite_forced,national_illness,36,48,2021,3.366728,1.259333,0.479069,0.9997,3701,20
freqlite_forced,national_illness,36,48,2022,3.274858,1.244514,0.473734,0.9997,3701,20
freqlite_forced,national_illness,36,48,2023,3.360488,1.271742,0.478833,0.9997,3701,20
rlinear,national_illness,36,60,2021,3.395401,1.273990,0.593249,,2222,20
rlinear,national_illness,36,60,2022,3.362736,1.285003,0.589847,,2222,20
rlinear,national_illness,36,60,2023,3.458646,1.299606,0.605708,,2222,20
dlinear,national_illness,36,60,2021,4.787019,1.545685,0.727470,,4440,20
dlinear,national_illness,36,60,2022,4.991878,1.594832,0.738852,,4440,20
dlinear,national_illness,36,60,2023,4.999388,1.595319,0.742662,,4440,20
fits,national_illness,36,60,2021,5.229645,1.646813,0.855577,,156,20
fits,national_illness,36,60,2022,6.690683,1.896566,1.182949,,156,20
fits,national_illness,36,60,2023,6.626935,1.919616,1.023444,,156,20
arevin_linear,national_illness,36,60,2021,3.384288,1.270434,0.590819,0.5090,2403,20
arevin_linear,national_illness,36,60,2022,3.348627,1.280151,0.586656,0.5090,2403,20
arevin_linear,national_illness,36,60,2023,3.445149,1.295156,0.602152,0.5090,2403,20
freqlite_def,national_illness,36,60,2021,3.288520,1.246129,0.579002,0.0186,4625,20
freqlite_def,national_illness,36,60,2022,3.248792,1.255022,0.571762,0.0186,4625,20
freqlite_def,national_illness,36,60,2023,3.385275,1.282083,0.596872,0.0186,4625,20
freqlite_arevin,national_illness,36,60,2021,3.276920,1.242415,0.576459,0.5089,4625,20
freqlite_arevin,national_illness,36,60,2022,3.237162,1.250611,0.568790,0.5090,4625,20
freqlite_arevin,national_illness,36,60,2023,3.372582,1.277603,0.593605,0.5090,4625,20
freqlite_forced,national_illness,36,60,2021,3.266348,1.238998,0.574122,0.9997,4625,20
freqlite_forced,national_illness,36,60,2022,3.226590,1.246522,0.566050,0.9997,4625,20
freqlite_forced,national_illness,36,60,2023,3.360953,1.273429,0.590568,0.9997,4625,20
