model,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,params,flops_per_series,sec_per_epoch,peak_gpu_mem_mb,epochs_run,lookback_label
rlinear,ETTh1,336,720,2021,0.451956,0.465142,1.422017,242642,483840,1.0148,77.7,5,L336
rlinear,ETTh1,336,720,2022,0.448545,0.462415,1.420555,242642,483840,1.0195,77.7,7,L336
rlinear,ETTh1,336,720,2023,0.447281,0.461373,1.421601,242642,483840,1.1130,77.7,12,L336
fits,ETTh1,336,720,2021,0.447488,0.467339,1.458680,11352,44352,1.3662,76.1,20,L336
fits,ETTh1,336,720,2022,0.445943,0.464899,1.453382,11352,44352,1.3424,76.1,20,L336
fits,ETTh1,336,720,2023,0.447452,0.466842,1.458798,11352,44352,1.2952,76.1,20,L336
freqlite,ETTh1,336,720,2021,0.447318,0.460934,1.416066,487445,1024076,1.9893,85.8,5,L336
freqlite,ETTh1,336,720,2022,0.443056,0.457820,1.414413,487445,1024076,1.7052,85.8,8,L336
freqlite,ETTh1,336,720,2023,0.442771,0.457715,1.416729,487445,1024076,1.5838,85.8,9,L336
patchtst,ETTh1,336,720,2021,0.636597,0.568857,1.699675,2006802,0,3.4095,183.4,6,L336
patchtst,ETTh1,336,720,2022,0.597391,0.541545,1.649996,2006802,0,3.3954,183.4,5,L336
patchtst,ETTh1,336,720,2023,0.655168,0.561305,1.658949,2006802,0,3.4042,183.4,4,L336
naive,ETTh2,336,96,2021,0.431657,0.421621,0.315860,0,0,0.0000,67.8,0,L336
naive,ETTh2,336,96,2022,0.431657,0.421621,0.315860,0,0,0.0000,67.8,0,L336
naive,ETTh2,336,96,2023,0.431657,0.421621,0.315860,0,0,0.0000,67.8,0,L336
nlinear,ETTh2,336,96,2021,0.284202,0.344647,0.212572,32352,64512,0.6264,70.4,7,L336
nlinear,ETTh2,336,96,2022,0.281392,0.343566,0.212837,32352,64512,0.7016,70.4,11,L336
nlinear,ETTh2,336,96,2023,0.282552,0.343924,0.212431,32352,64512,0.6874,70.4,7,L336
dlinear,ETTh2,336,96,2021,0.283012,0.346958,0.212040,64704,129024,0.7673,71.3,7,L336
dlinear,ETTh2,336,96,2022,0.288207,0.352777,0.216493,64704,129024,0.7930,71.3,7,L336
dlinear,ETTh2,336,96,2023,0.284183,0.348781,0.212942,64704,129024,0.8881,71.3,7,L336
rlinear,ETTh2,336,96,2021,0.281165,0.341842,0.208294,32354,64512,1.0208,70.1,7,L336
rlinear,ETTh2,336,96,2022,0.281010,0.342551,0.209132,32354,64512,1.0381,70.1,7,L336
rlinear,ETTh2,336,96,2023,0.281671,0.341605,0.207917,32354,64512,1.0389,70.1,6,L336
fits,ETTh2,336,96,2021,0.284398,0.345221,0.220620,4644,18144,1.0563,70.8,19,L336
fits,ETTh2,336,96,2022,0.285684,0.345797,0.221083,4644,18144,1.0566,70.8,19,L336
fits,ETTh2,336,96,2023,0.285222,0.345812,0.221098,4644,18144,1.0468,70.8,19,L336
freqlite,ETTh2,336,96,2021,0.275133,0.336553,0.204188,64997,185420,1.4872,72.5,7,L336
freqlite,ETTh2,336,96,2022,0.274168,0.336598,0.204950,64997,185420,1.4873,72.5,9,L336
freqlite,ETTh2,336,96,2023,0.275510,0.336575,0.204421,64997,185420,1.4784,72.5,7,L336
patchtst,ETTh2,336,96,2021,0.363382,0.388385,0.233047,328866,0,3.2867,154.1,5,L336
patchtst,ETTh2,336,96,2022,0.332446,0.373240,0.228664,328866,0,3.2492,154.1,4,L336
patchtst,ETTh2,336,96,2023,0.341183,0.382976,0.222131,328866,0,6.0041,154.1,5,L336
naive,ETTh2,336,192,2021,0.533722,0.472538,0.385814,0,0,0.0000,68.1,0,L336
naive,ETTh2,336,192,2022,0.533722,0.472538,0.385814,0,0,0.0000,68.1,0,L336
naive,ETTh2,336,192,2023,0.533722,0.472538,0.385814,0,0,0.0000,68.1,0,L336
nlinear,ETTh2,336,192,2021,0.345011,0.384663,0.279060,64704,129024,1.7680,71.4,9,L336
nlinear,ETTh2,336,192,2022,0.346229,0.385224,0.278822,64704,129024,0.6517,71.4,8,L336
nlinear,ETTh2,336,192,2023,0.350371,0.387193,0.278088,64704,129024,0.6874,71.4,6,L336
dlinear,ETTh2,336,192,2021,0.380131,0.417602,0.297587,129408,258048,0.9249,72.9,8,L336
dlinear,ETTh2,336,192,2022,0.380617,0.415816,0.301095,129408,258048,0.9350,72.9,4,L336
dlinear,ETTh2,336,192,2023,0.395112,0.426001,0.303823,129408,258048,0.9239,72.9,12,L336
rlinear,ETTh2,336,192,2021,0.340920,0.382170,0.274494,64706,129024,1.0418,71.1,9,L336
rlinear,ETTh2,336,192,2022,0.364339,0.393270,0.274433,64706,129024,1.0627,71.1,4,L336
